DemoP,LingP,CompP
16,13,11
14,12,15
10,19,12
9,12,10
7,9,7
9,15,15
13,14,18
7,9,12
6,8,16
6,11,11
10,15,19
12,17,23
17,7,15
18,13,19
16,9,18
16,9,15
9,11,18
11,18,24
6,6,15
13,15,15
17,16,22
10,7,8
11,12,19
11,17,20
16,14,20
11,13,13
9,17,11
10,10,8
11,11,9
16,18,26
12,11,10
9,16,22
13,20,17
8,22,10
14,27,20
11,22,35
